Skill;Ofertas;Subtipo;Tipo
English;49105;Idioma;Idioma extranjero
SQL;20416;BDD;Manejo de datos
Java;16238;Lenguaje programación;Programación
Python;15360;Lenguaje programación;Programación
HTML;14960;Lenguaje web;Programación
Javascript;14840;Lenguaje programación;Programación
C++;13439;Lenguaje programación;Programación
Spanish;13107;Idioma;Idioma extranjero
CSS;12823;Lenguaje web;Programación
Agile;11493;Metodología Agile;Gestión de proyectos
Excel;5750;Ofimática;Manejo de datos
Scrum;5507;Metodología PM;Gestión de proyectos
SQL Server;5444;BDD;Manejo de datos
Linux;5345;Sistema Operativo;Infrastructura
.Net Framework;4808;Framework .NET;Programación
Node.js;4706;Framework Javascript;Programación
AngularJS;4349;Framework Javascript;Programación
Mysql;4197;BDD;Manejo de datos
French;4015;Idioma;Idioma extranjero
Git;3756;Control de versiones;Gestión de proyectos
PostgreSQL;3558;BDD;Manejo de datos
C#;3534;Lenguaje programación;Programación
Windows Server;3346;Sistema Operativo;Infrastructura
Oracle Database;3322;BDD;Manejo de datos
PHP;3314;Lenguaje programación;Programación
ASP.Net;3254;Framework .NET;Programación
AWS;3222;Cloud;Tecnologia Cloud
Hibernate;3191;Framework Java;Programación
MongoDB;2799;BDD;Manejo de datos
Microsoft Azure;2782;Cloud;Tecnologia Cloud
Microsoft Office;2710;Ofimática;Manejo de datos
React.JS;2630;Framework Javascript;Programación
Fluent english;2608;Inglés;Idioma extranjero
German;2538;Idioma;Idioma extranjero
DevOps;2527;DevOps;Devops
B2;2468;Titulación;Idioma extranjero
Jquery;2399;Framework Javascript;Programación
C;2392;Lenguaje programación;Programación
Jira;2370;Herramienta PM;Gestión de proyectos
Kubernetes;2150;Cloud;Tecnologia Cloud
Docker;2100;Cloud;Tecnologia Cloud
C1;1990;Titulación;Idioma extranjero
Microsoft Project;1935;Herramienta PM;Gestión de proyectos
Spring;1907;Framework Java;Programación
Swift developer;1781;Lenguaje programación;Programación
Word;1672;Ofimática;Manejo de datos
Typescript;1607;Lenguaje programación;Programación
PowerPoint;1598;Ofimática;Manejo de datos
Tableau;1523;BI;Manejo de datos
Portuguese;1499;Idioma;Idioma extranjero
Jenkins;1426;Herramienta Devops;Devops
Italian;1205;Idioma;Idioma extranjero
Bash;1189;Scripting Linux;Infrastructura
GCP;1079;Cloud;Tecnologia Cloud
Catalan;1073;Idioma;Idioma extranjero
NoSQL;1047;BDD;Manejo de datos
R;989;Lenguaje programación;Programación
PowerBI;920;BI;Manejo de datos
Hadoop;913;Cloud;Tecnologia Cloud
Powershell;867;Scripting Windows;Infrastructura
Vue.JS;862;Framework Javascript;Programación
Dynamics;740;Ofimática;Manejo de datos
Junit;687;Testing Java;Programación
Spark;659;Lenguaje programación;Programación
Selenium;651;Testing Java;Programación
Ruby;644;Lenguaje programación;Programación
Kanban;640;Metodología Agile;Gestión de proyectos
VMWare;614;Cloud;Tecnologia Cloud
Struts;587;Framework Java;Programación
B1;573;Titulación;Idioma extranjero
Kotlin;523;Lenguaje programación;Programación
Confluence;521;Herramienta PM;Gestión de proyectos
Perl;473;Lenguaje programación;Programación
JSF;471;Framework Java;Programación
Scala;471;Lenguaje programación;Programación
Very good English;438;Inglés;Idioma extranjero
Golang;400;Lenguaje programación;Programación
